times, motion, button, ultra
0.682973,1,0,37
0.684021,1,0,37
0.685111,1,0,37
0.686171,1,0,37
0.687226,1,0,37
0.688277,1,0,37
0.689388,1,1,37
0.690438,0,0,37
0.691495,0,0,37
0.69254,0,0,37
0.693655,0,0,38
0.694727,0,0,37
0.695777,0,0,37
0.696837,0,0,37
0.697955,1,0,38
0.699044,1,0,37
0.700086,1,0,34
0.701181,1,0,45
0.702252,1,0,45
0.70335,1,0,45
0.704435,1,0,45
0.705544,1,0,45
0.706633,1,0,45
0.70769,1,0,45
0.708788,1,0,45
0.709874,1,0,45
0.710924,1,0,45
0.711992,1,0,45
0.713097,0,0,45
0.714157,0,0,45
0.715207,0,0,45
0.716275,0,0,45
0.71737,0,0,45
0.718476,0,0,45
0.719532,0,0,45
0.720626,0,0,45
0.721707,0,0,45
0.722791,0,1,45
0.723851,0,0,45
0.724968,0,0,45
0.726449,0,0,45
0.727603,0,0,45
0.72871,0,0,45
0.729771,0,0,45
0.730867,0,0,45
0.731933,0,0,45
0.732987,0,0,45
0.734114,0,0,45
0.735182,0,0,45
0.736237,0,0,45
0.737291,0,0,45
0.738376,0,0,45
0.739451,0,0,45
0.740504,0,0,45
0.741554,0,0,45
0.74266,0,0,45
0.743781,0,0,45
0.74485,0,0,45
0.745955,0,0,45
0.74702,0,1,45
0.748083,0,0,45
0.749176,0,0,45
0.75027,0,0,45
0.751398,0,0,45
0.752447,0,0,45
0.75354,0,0,44
0.754617,1,0,38
0.755667,1,0,50
0.756763,1,0,50
0.757871,1,0,50
0.75899,1,0,50
0.760073,1,0,50
0.761184,1,0,50
0.762265,1,0,50
0.763324,1,0,50
0.76438,1,0,50
0.765483,1,0,50
0.766669,1,0,50
0.76773,1,0,50
0.768821,0,0,50
0.769892,0,0,50
0.770938,0,0,50
0.772079,0,0,50
0.773137,0,0,50
0.774227,0,1,50
0.775266,0,0,50
0.776364,0,0,50
0.777441,0,0,50
0.778474,0,0,50
0.77953,0,0,50
0.78064,0,0,50
0.781693,0,0,50
0.782736,0,0,50
0.783788,0,0,50
0.784874,0,0,50
0.785947,0,0,50
0.786986,0,0,50
0.788081,0,0,50
0.789159,0,0,50
0.790196,0,0,50
0.791244,0,0,50
0.792398,0,0,50
0.793491,0,0,50
0.794557,0,0,50
0.795896,0,0,50
0.797016,0,0,50
0.79808,0,0,50
0.799173,0,0,50
0.800251,0,0,50
0.801293,0,0,50
0.802443,0,0,50
0.803513,0,0,50
0.804594,0,0,50
0.80565,0,0,50
0.806758,0,0,50
0.807812,0,0,50
0.808855,0,0,50
